name, description, price
ABSORB,leathercare set,0
ABSORB,leathercleaner,100
ADMETE RUND,chair pad,0
ADMETE,chair pad,100
ADMETE,dish towel,0
ÅDUM,rug,100
AGAM,junior chair,0
AGEN,children's armchair,100
AGEN,series,0
AGNARYD,picture,100
AGNE,bar stool,0
AGNE,stool,100
AINA,cushion cover,0
AINA,pair of curtains,100
AKURUM,wall top cabinet frame,0
AKURUM/RATIONELL,system,100
AKUT,3-piece kitchen utensil set,0
ALÄNG,floor lamp,100
ALÄNG,table lamp,0
ALARM,alarm clock,100
ALEX,drawer unit on casters,0
ALG,mirror,100
ALKALISK,alkaline battery,0
ALLAMÅLA,magazine rack,100
ALLAMÅLA,wall basket,0
ÄLMHULT,mug,100
ALSEDA,stool,0
ALSTER,2-piece salad server set,100
ALSVIK,single lever kitchen faucet,0
ALVE,add-on-unit for secretary,100
ALVE,bookcase with drawer,0
ALVE,cabinet with doors,100
ALVE,corner workstation,0
ALVE,desk,100
ALVE,drawer unit,0
ALVE,laptop table,100
ALVE,secretary,0
ALVE,storage bench,100
ALVINE PÄRLA,shade,0
ALVINE TRÅD,shade,100
ALVINE,bedspread,0
ALVINE,collection,100
ALVINE,series,0
AMALIA,chair cushion,100
AMMERÖ,series,0
AMORF FROST,window decoration,100
ÄMTEN,cleaning agent,0
ANDREA SATIN,duvet cover and pillowsham(s),100
ANDREA,rug,0
ANDRUP,rug,100
ANDY,drawer unit on casters,0
ANEBODA,series,100
ÅNES,4-drawer chest,0
ÅNES,chest with 2 drawers,100
ÅNES,mirror,0
ANITA,pair of curtains with tie-backs,100
ÅNN,bath faucet with strainer,0
ÅNN,sink,100
ANNAMOA,fabric,0
ANNO AMORF,panel curtain,100
ANNO INEZ,panel curtain,0
ANNO LJUV,panel curtain,100
ANNO SANELA,panel curtain,0
ANNO STRÅ,panel curtain,100
ANNO TUPPLUR,panel curtain,0
ANNO UNNI,panel curtain,100
ANNO VACKER,panel curtain,0
ANNONS,5-piece cookware set,100
ANORDNA LYX,pull-out storage unit,0
ANORDNA LYX,storage unit,100
ANORDNA MEST,pull-out storage unit,0
ANORDNA MEST,storage unit,100
ANRIK,coffee/tea maker,0
ANSLUTA,intermediate connection cord,100
ANSLUTA,power supply cord,0
ANSLUTA,power supply cord 6-way,100
ANTEN,scale,0
ANTIFONI,floor/reading lamp,100
ANTIFONI,work lamp,0
ANTIK,handle,100
ANTIK,knob,0
ANTILOP,highchair tray,100
ANTILOP,highchair with safety belt,0
ANTILOP,wall mount changing table,100
ANTONIUS,drying rack,0
ANTONIUS,foldable drying rack,100
ANTONIUS,height adjustable clothes dryer,0
ANTONIUS,laundry bag with stand,100
ANTONIUS,shelf,0
ANTONIUS,system,100
APA,storage box,0
APELSKÄR,sink faucet with strainer,100
ÄPPELVINÄGER MED LINGON,apple vinegar with lingonberries,0
ÄPPLARÖ,outdoor furniture,100
ARHOLMA,series,0
ÅRLIG,plant pot,100
ARRAK,plant pot,0
ÅRSTID,series,100
ARV,plate,0
ARV,series,100
ARVINN,folding chair,0
ÅRYD,series,100
ÅRYD,tealight holder,0
ÅSELE,shade,100
ÅSELE,table lamp,0
ASKER,series,100
ASPEKT,knife sharpener,0
ASPELUND,series,100
ASPVIK,series,0
ÅSUNDEN,basket with lid,100
ÅSUNDEN,basket with lid,0
ÅSUNDEN,basket,100
ATLANT,waste strainer,0
ÄTRAN,lockable cabinet,100
ÄTRAN,wall cabinet,0
ATTEST,handle,100
ATTEST,knob,0
ATTITYD,drawer unit,100
ATTITYD,wall cabinet,0
BÅDALEN,wall-mounted headboard,100
BAGIS,children's coat-hanger,0
BALSER,chair,100
BÄRBAR,tray,0
BAREN,glass shelf,100
BAREN,hanger,0
BAREN,toilet brush,100
BAREN,toilet roll holder,0
BAREN,towel holder,100
BAREN,towel rail,0
BARNSLIG RINGDANS,box with lid,100
BARNSLIG,mirror,0
BARNSLIG,place mat,100
BARNSLIG,series,0
BARNSLIG,textiles,100
BAROMETER,series,0
BASISK,series,100
BASISK,wall/clamp spotlight,0
BÄSTIS,lint roller refill,100
BEATA BLAD,duvet cover and pillowcase(s),0
BEATA ORKIDE,duvet cover and pillowcase(s),100
BEATA,collection,0
BEDDINGE,cushion cover,100
BEDDINGE,series,0
BEHANDLA,beeswax polish,100
BEHANDLA,series,0
BEHÖVD,vacuum flask,100
BEKVÄM,kitchen cart,0
BEKVÄM,spice rack,100
BEKVÄM,step stool,0
BENNO,series,100
BERIT,fabric,0
BERLEVÅG,mirror,100
BERLEVÅG,table mirror,0
BERNHARD,chair,100
BERTA RAND,fabric,0
BERTA RUTA,fabric,100
BERTIL,chair,0
BERYLL,quad spotlight,100
BERYLL,wall spotlight,0
BESKÅDA,curtain rod set,100
BESKÅDA,double wall hardware,0
BESTÅ ÅDAL TV,unit,100
BESTÅ BOÅS TV,storage unit,0
BESTÅ BURS TV,unit,100
BESTÅ BURS TV,storage combination,0
BESTÅ BURS,desk,100
BESTÅ BURS,wall shelf,0
BESTÅ JÄGRA TV,unit with casters,100
BESTÅ TV,storage combo with sliding doors,0
BESTÅ TV,unit,100
BESTÅ TV,storage combination,0
BESTÅ,shelf unit,100
BESTÅ,shelf unit/height extension unit,0
BESTÅ,storage combination,100
BESTÅ/FRAMSTÅ/INREDA,storage system,0
BEVARA,sealing clip,100
BIBBI SNURR,duvet cover and pillowcase(s),0
BIGARRÅ,series,100
BILAR,cars,0
BILD,poster,100
BILLSTA,series,0
BILLY,bookcase,100
BILLY,system,0
BIRGIT LANTLIG,duvet cover and pillowcase(s),100
BIRGIT SPETS,duvet cover and pillowcase(s),0
BIRGIT,collection,100
BIRGIT,duvet cover and pillowcase(s),0
BIRKELAND,series,100
BISSA,shoe cabinet with 2 compartments,0
BITIG,clock with noticeboard,100
BJÄRNUM,folding hook,0
BJÄRNUM,hat/shoe rack,100
BJÄRNUM,hook,0
BJOA,mirror,100
BJÖRKEFALL,block candle holder,0
BJÖRKEFALL,candlestick,100
BJÖRKEN,mirror cabinet,0
BJÖRKEN,wall cabinet,100
BJÖRKUDDEN,bar table,0
BJÖRKUDDEN,dining table,100
BJÖRKUDDEN/BERTIL,table and 4 chairs,0
BJURÖN,plant glide,100
BJURÖN,plant pot,0
BJURÖN,plant stand,100
BJURSTA,bar table,0
BJURSTA,bench,100
BJURSTA,series,0
BLADET,series,100
BLADET,vase,0
BLADHULT,series,100
BLADIS,series,0
BLÅMES,highchair with tray,100
BLANDA BLANK,bowl,0
BLANDA,series,100
BLANDA,serving bowl,0
BLANKEN,series,100
BLÅSIPPA,duvet cover and pillowcase(s),0
BLASKA,broom,100
BLASKA,dust pan and brush,0
BLASKA,laundry basket,100
BLASKA,window squeegee,0
BLECKA,hook,100
BLIXT,recessed spotlight,0
BLOMMIG,vase,100
BLOMSTER,candlestick,0
BLOMSTER,series,100
BLOMSTER,vase,0
BLOSSANDE,coffee accessories,100
BLOSSANDE,tea accessories,0
BOALT CD,rack for 35 CDs,100
BOALT DVD,rack for 29 DVDs,0
BOASJÖ,5-piece bathroom set,100
BOHOLMEN,1 1/2 bowl inset sink with drainer,0
BOHOLMEN,1 bowl inset sink with drainer,100
BOHOLMEN,2 bowl inset sink with drainer,0
BOHOLMEN,chopping board,100
BOHOLMEN,colander,0
BOHOLMEN,cover plate,100
BOHOLMEN,dish drainer,0
BOHOLMEN,double-bowl inset sink,100
BOHOLMEN,inset sink 1 1/2 bowl,0
BOHOLMEN,rinsing tub,100
BOHOLMEN,single-bowl inset sink,0
BÖJA,series,100
BOJNE,chair with armrests,0
BOLIDEN,chair and footstool,100
BOLMEN,series,0
BÖLSNÄS,basket,100
BOMULL,fabric,0
BOMULL,pair of curtains with tie-backs,100
BOMULL,rug,0
BONDIS,wall clock,100
BONETT,bevel-edged mirror,0
BONSAI CARMONA,potted plant,100
BOREN,wall edging strip,0
BÖRJE,chair,100
BORRBY,lantern for block candle,0
BORRIS,door mat,100
BOSSE,bar stool,0
BOSSE,stool,100
BOTNE,wardrobe,0
BRÄDA,series,100
BRALLIS,clothes-hanger,0
BRANÄS,basket,100
BRAVERA,frying pan,0
BRAVUR,wall clock,100
BREDGRUND,shower curtain,0
BREDSKÄR,single-bowl inset sink,100
BRIMNES,series,0
BRIMNES,wall cabinet with sliding door,100
BRITTEN DÖRR,fabric,0
BRITTEN HUS,fabric,100
BRITTEN NUMMER,fabric,0
BRITTEN STUGA,fabric,100
BRODER,system,0
BRUNKRISSLA,duvet cover and pillowcase(s),100
BRYGGKAFFE MELLANROST,ground coffee,0
BRYGGKAFFE MÖRKROST,ground coffee,100
BRYNE,net,0
BSORB,bycast leather cleaner,100
BULLAR,baking pan,0
BULLAR,loaf pan,100
BULLAREN,5-piece bathroom furniture set,0
BUMERANG,curved clothes hanger,100
BUMERANG,series,0
BURKEN,jar with lid,100
BURSJÖN,stool with storage,0
BYGEL,container,100
BYGEL,dish drainer,0
BYGEL,magnetic knife rack,100
BYGEL,rail,0
BYGEL,s-hook,100
BYGEL,series,0
BYGEL,wire basket,100
BYGGA,construction set,0
BYHOLMA,chair,100
BYHOLMA,series,0
CALYPSO,ceiling lamp,100
CAPITA,bracket,0
CECILIA,fabric,100
CELEBER,jar with lid,0
CELEBER,series,100
CENTRERA LYKTA,lantern,0
CHARLOTTA BLOCK,fabric,100
CHARLOTTA HIMMEL,fabric,0
CHARLOTTA MÄRKE,fabric,100
CHARLOTTA TECKNING,fabric,0
CHARLOTTA VILD,fabric,100
CHARM,egg slicer,0
CHARMIG,20-piece cutlery set,100
CHARMÖR,bowl,0
CHARMÖR,series,100
CHOSIGT,funnel,0
CHOSIGT,grater with container,100
CHRISTEL,cushion,0
CHRYSALIDOCARPUS LUTESCENS,potted plant,100
CILLA,chair pad,0
CLIPS,frame with clips,100
CYLINDER,series,0
DAGLILJA,bedspread/blanket,100
DAIM MINI,milk chocolate with caramel,0
DALFRED,bar stool,100
DÄMPA,curtain rod set,0
DÄNKA,ironing board,100
DATA,series,0
DÅTID,series,100
DAVE,laptop table,0
DAVE,laptop workstation,100
DEGERNES,underbed storage box,0
DEKA,curtain wire incl. clips,100
DEKAD,alarm clock,0
DEKAD,wall clock,100
DELIKAT,series,0
DESSERT,measuring cups,100
DESSERT,measuring spoons,0
DETOLF,glass-door cabinet,100
DIGNITET,corner piece,0
DIGNITET,curtain ring with clip,100
DIGNITET,curtain wire,0
DILLING,underbed storage box,100
DIMMA,cord dimmer,0
DIMPA,series,100
DINERA DEKAL,10 piece dinnerware set,0
DINERA DEKAL,bowl,100
DINERA,series,0
DIOD,glass,100
DIODER,lighting strip,0
DIODER,multipurpose lighting,100
DIREKT,3-piece kitchen utensil set,0
DISKA,dishwashing brush,100
DISKRET,plant pot,0
DISTANS,series,100
DITO,20-piece cutlery set,0
DITTE,fabric,100
DIVISION,suspension set for panel curtain,0
DJÄRV,plant pot,100
DOCKSTA,dining table,0
DOFTA,potpourri,100
DOFTA,potpourri in a box,0
DOKUMENT,pencil cup,100
DOKUMENT,series,0
DOLD,single portion sugar shaker,100
DOMSJÖ,chopping board,0
DOMSJÖ,rinsing basket,100
DRACAENA MARGINATA,potted plant,0
DRACAENA MASSANGEANA,potted plant,100
DRACAENA,plant,0
DRAGAN,3-piece bathroom set,100
DRAGAN,jar with lid set of 3,0
DRAGAN,soap dish,100
DRAGON,series,0
DRAGÖR,rug,100
DRÄLLA,bendable chopping board,0
DRÖMMAR,cookie sheet,100
DRÖMMAR,series,0
DRÖNA,box,100
DROPPAR,series,0
DROPS,collage frame for 7 photos,100
DUDERÖ,floor lamp,0
DUKTIG,8-piece table/kitchen textile set,100
DUKTIG,glass,0
DUKTIG,series,100
DUKTIG,tool box,0
DVALA,duvet cover and pillowcase(s),100
DVALA,fitted sheet,0
DVALA,flat sheet,100
DVALA,pillowcase for ergonomic pillow,0
EDGAR,folding chair,100
EDIT,cushion cover,0
EDLAND,nightstand,100
EDLAND,series,0
EDSVIK,dual control kitchen faucet,100
EFFEKTIV,system,0
EGEBY,rug,100
EGIL,stool,0
EIDE,bed frame,100
EKARP,floor lamp base,0
EKARP,table lamp base,100
EKÅS,shade,0
EKBY BJÄRNUM,bracket,100
EKBY HÅLL,bracket,0
EKBY HENSVIK,bracket,100
EKBY JÄRPEN,shelf,0
EKBY MOSSBY,shelf,100
EKBY ÖSTEN,shelf,0
EKBY ROBERT,bracket,100
EKBY STÅTLIG,shelf,0
EKBY STILIG,bracket,100
EKBY TONY,shelf,0
EKBY TRYGGVE,shelf,100
EKBY VALTER,bracket,0
EKBY VIKTOR,shelf,100
EKBY,shelf bar,0
EKORRE,series,100
EKTORP,cover free-standing chaise lounge,0
EKTORP,loveseat,100
EKTORP,lumbar cushion,0
EKTORP,neckroll,100
EKTORP,series,0
EKTORP,sofa,100
ELDIG HOB,450 B gas cooktop,0
ELDIG,gas cooktop,100
ELDIG,glass ceramic cooktop,0
ELGÅ,system,100
ELIAS,chair with armrests,0
ELISABET,fabric,100
ELLAKAJSA,dish towel,0
ELLY,dish towel,100
ELVERDAM,single lever kitchen faucet,0
EMSEN,double bowl corner sink,100
EMU,box with lid,0
ENERGISK,18 S refrigerator/freezer,100
ENERGISK,18 W refrigerator/freezer,0
ENGAN,series,100
ENJE,roller blind,0
ENSEMBLE,salt and pepper shakers,100
ENSEN,bath faucet with strainer,0
ENVIS,series,100
EPISTEL,series,0
ERBIUM,ceiling lamp,100
ERIK,drawer unit w 2 drawers on casters,0
ERIK,drawer unit w 3 drawers on casters,100
ERIK,file cabinet,0
ERIKSLUND,series,100
ERLAND,chair,0
ERLING,clothes-hanger,100
ERSERUD,shade,0
ERSLEV,rug,100
ESPRESSOKAFFE,spresso,0
ETTY,apron,100
ETTY,dish towel,0
EVABRITT,panel curtain,100
EVERT,stool,0
EXARBY,mattress,100
EXKLUSIVT,butcher block,0
EXPEDIT,series,100
EXPEDIT,shelf insert,0
EXPEDIT,single drawer insert,100
FABIAN,wall shelf,0
FABLER,3-piece cutlery set,100
FABLER,3-piece dinnerware set,0
FABLER KALAS,decorative stickers,100
FABLER KAMRATER,textiles,0
FABLER RESA,decorative stickers,100
FABLER,eries,0
FABLER,box with lid,100
FABLER,feeding and baby spoon,0
FABLER,mirror,100
FABLER,place mat,0
FABLER,storage bag,100
FABLER,textiles,0
FABRINA,bedspread,100
FADO,pendant downlight,0
FADO,pendant lamp,100
FADO,table lamp,0
FAMNIG HJÄRTA,cushion,100
FANSTA,shade,0
FANTAST,meat thermometer/timer,100
FANTASTISK,napkin holder for 50 napkins,0
FANTASTISK,paper napkin,100
FÄRGGLAD,children's chair,0
FÄRGRIK TROLSK,bowl,100
FÄRGRIK TROLSK,series,0
FÄRGRIK,bowl,100
FÄRGRIK,mug,0
FÄRGRIK,plate,100
FÄRGRIK,series,0
FÄRGRIK,side plate,100
FÄRM,vase,0
FARTYG,triple ceiling spotlight,100
FARTYG,wall spotlight,0
FARUM,rug,100
FASTBO,wall panel,0
FATTBAR,3-piece knife set,100
FAVORIT,saucepan with lid,0
FAVORIT,series,100
FEJKA,artificial plant in pot,0
FELICIA,series,100
FENOMEN,block candle,0
FENOMEN,block candle,100
FENOMEN,floating candle,0
FIBBE,bin with lid,100
FICUS MICROCARPA GINSENG,plant with pot,0
FIGGJO,mirror,100
FILLSTA,floor lamp,0
FILLSTA,pendant lamp,100
FILLSTA,table lamp,0
FINLIR FLADDRA,frame for 5-10 pictures,100
FINLIR,series,0
FINNGRUND,shower curtain,100
FISKEVIK,picture holders,0
FIXA,17-piece tool kit,100
FIXA,2-piece tool set,0
FIXA,8-piece tool kit,100
FIXA,clips/binder/touch+close fastening,0
FIXA,countertop cover strip,100
FIXA,diffusion barrier,0
FIXA,drill template,100
FIXA,floor laying kit,0
FIXA,floor protectors with rivet,100
FIXA,paint brush set,0
FIXA,picture hook,100
FIXA,screw with plug,0
FIXA,stick-on floor protectors set of 20,100
FJÄDRAR,inner cushion,0
FJÄLLSTA,series,100
FJELLSE,bed frame,0
FLÄCKIG,colander,100
FLÄCKIG,measuring cup,0
FLÄCKIG,mixing bowl,100
FLAKSA,ceramic sharpener,0
FLÄNG,hanger with 4 knobs,100
FLANÖR,plant pot,0
FLÅREN,series,100
FLÅREN,sink cabinet,0
FLÄTA,laundry basket,100
FLÄTA,magazine file,0
FLÄTA,magazine rack,100
FLÄTA,storage rack for writing materials,0
FLÄTA,wastepaper basket,100
FLATEN,storage tin with lid,0
FLIT,book-end,100
FLOKATI,rug,0
FLORERA MYS,scented candle with 3 wicks,100
FLORERA,series,0
FLORÖ,bed frame,100
FLÖRT,cd case,0
FLÖRT,unknown,100
FLUKTA,clock,0
FLYGEL,work lamp,100
FLYN LILL,panel curtain,0
FLYT,magazine file,100
FLYTTA,kitchen cart,0
FNISS,wastepaper basket,100
FOLKVIK TV,bench with storage,0
FÖRHÖJA,cutlery tray,100
FÖRHÖJA,series,0
FÖRHÖJA,wall cabinet,100
FORMAT,cabinet lighting,0
FORMAT,floor/reading lamp,100
FORMAT,work lamp,0
FÖRNUFT,20-piece cutlery set,100
FORSÅ,work lamp,0
FÖRSIKTIG,children's stool,100
FÖRSTÅ,coffee/tea maker,0
FORSYTIA,bedspread,100
FÖRTRÄFFLIG,scented candle in glass,0
FÖRVAR,jar with lid,100
FOTO,pendant lamp,0
FRÄCK,mirror,100
FRÄJEN,bath sheet,0
FRAKTA,cart,100
FRAKTA,hand cart with storage bag,0
FRAKTA,loading strap with buckle,100
FRAKTA,luggage straps,0
FRAKTA,shopping bag,100
FRAKTA,shopping bag,0
FRAKTA,storage bag for cart,100
FRAKTA,tarpaulin,0
FRAKTA,tarpaulin rope,100
FRAMSTÅ,wall bracket for flat screen TV,0
FRAMTID,microwave oven with extractor fan,100
FRAMTID,series,0
FRANKLIN,bar stool with backrest,100
FREDEN,series,0
FREDEN/HÖLLVIKEN,sink cabinet,100
FREDLIG,paper napkin,0
FREDRIK,series,100
FREDRIKA,fabric,0
FRIDFULL,plant pot,100
FROST,drying rack,0
FRYKEN,box with lid,100
FUGA,ceiling spotlight,0
FUGA,ceiling/wall lamp,100
FULLEN,high cabinet,0
FULLEN,mirror cabinet,100
FULLEN,mirror with shelf,0
FULLEN,sink base cabinet with 2 doors,100
FULLEN,sink cabinet,0
FYLLEN,laundry basket,100
GALANT,conference table,0
GALANT,system,100
GALEJ,candle dish,0
GALEJ,tealight holder,100
GÅNGBAR,curtain rod set,0
GARDENIA JASMINOIDES,potted plant,100
GÅSER,rug,0
GÅSGRUND,series,100
GÄSPA,fitted sheet,0
GÄSPA,flat sheet,100
GÄSPA,pillowcase,0
GATTEN,rug,100
GEDSER,rug,0
GEMAK,colander,100
GILBERT,chair,0
GILBERT,stool,100
GILDA,collection,0
GISLEV,rug,100
GLANA,collage frame for 4 photos,0
GLANA,frame,100
GLÄNSA,lighting chain w/144 bulbs,0
GLÄNSA,pendant lamp,100
GLASÖRT KULLE,duvet cover and pillowcase(s),0
GLASÖRT STRECK,duvet cover and pillowcase(s),100
GLASÖRT TRÄD,duvet cover and pillowcase(s),0
GLÄTTIG,place mat,100
GLENN,bar stool,0
GLIMMA,candle holder,100
GLIMMA,candle in a metal cup,0
GLIMMA,tealight holder,100
GLIMMA,tealights,0
GLIRA,handle,100
GLIRA,knob,0
GLIS,box with lid,100
GLITTER,handle,0
GLOBAL,work lamp,100
GLÖDA,bulb E12 sign,0
GLÖDA,bulb E17 reflector R14,100
GNARP,5-piece kitchen utensil set,0
GODIS MIX,glass,100
GODIS,glass,0
GODMORGON,box with compartments,100
GODMORGON,box with lid,0
GODMORGON,mirror,100
GODMORGON,series,0
GODMORGON,storage unit,100
GODMORGON,storage with compartments,0
GODMORGON,vanity light,100
GOLIAT,computer desk,0
GOLIAT,drawer unit on casters,100
GÖMMAREN,universal shower curtain rod,0
GORM,1 shelf section/bottle racks,100
GORM,2 shelf sections,0
GORM,shelving unit,100
GORM,system,0
GOSA ASTER,pillow,100
GOSA HASSEL,pillow,0
GOSA KÄRNA,pillow core,100
GOSA KÄRNA,pillow core,0
GOSA KLÄTT,pillow,100
GOSA KRISSLA,pillow,0
GOSA LILJA,pillow,100
GOSA PINJE,pillow,0
GOSA PINJE,pillow,100
GOSA PINJE,pillow,0
GOSA RAPS,pillow,100
GOSA RAPS,pillow,0
GOSA RAPS,pillow,100
GOSA SLÅN,pillow,0
GOSA SYREN,pillow,100
GOSA SYREN,pillow,0
GOSA SYREN,pillow,100
GOSA TULPAN,pillow,0
GOSA VÄDD,pillow,100
GOSA VÄDD,pillow,0
GOSA VÄDD,pillow,100
GOSA VIDE,outer pillow pocket w filling,0
GOSA VIDE/KÄRNA,pillow,100
GOSA VIDE/KÄRNA,pillow,0
GOSIG,eries,100
GRANÅS,series,0
GRANAT,cushion,100
GRAPEFRUKT,plant pot,0
GRATINERA,oven/serving dish,100
GRAVYR,handle,0
GRAVYR,knob,100
GREGOR,swivel chair,0
GREJ,handle,100
GREVBÄCK,series,0
GRILLA,grill pan,100
GRILLER,grater,0
GRIMEN,bed frame,100
GRIP,handle,0
GROGGY,coaster,100
GROGGY,corkscrew,0
GROGGY,tray,100
GROLAND,kitchen island,0
GRÖNÖ,table lamp,100
GRÖNÖ,table lamp,0
GRUNDTAL,ighting series,100
GRUNDTAL,bathroom series,0
GRUNDTAL,drying rack,100
GRUNDTAL,glass shelf,0
GRUNDTAL,kitchen series,100
GRUNDTAL,laundry bin with casters,0
GRUNDTAL,mirror,100
GRUNDTAL,rail,0
GRUNDTAL,s-hook,100
GRUNDTAL,wall shelf,0
GRUNDTAL/BREDVIKEN,sink with leg frame,100
GRUNDTAL/NORRVIKEN,sink with leg frame,0
GRUNKA,4-piece kitchen utensil set,100
GUBBSKÄR,bathmat,0
GULLIVER,bed frame with slatted bed base,100
GULLIVER,changing table,0
GULLIVER,crib,100
GULLUNGE,changing pad,0
GULLUNGE,cover,100
GUNILLA,fabric,0
GUNVOR,fabric,100
GURKÖRT,vase,0
GUSTAV,desk with shelf unit,100
GUSTAV,laptop table,0
GYLLEN,panel,100
GYLLEN,wall lamp,0
GYMNOCALYCIUM,potted plant,100
GYNNSAM,chef's knife,0
GYNNSAM,series,100
HÅBOL,box with lid,0
HAGALUND,sofa bed,100
HAGALUND,sofabed slipcover,0
HAKE,knife block with 4 knives,100
HÅLLARE,tealight holder for 7 tealights,0
HALLARYD,series,100
HÅLLÖ,series,0
HALOGEN,bulb E12,100
HALOGEN,bulb E26,0
HALOGEN,bulb G9,100
HALOGEN,bulb GU10 35°,0
HALOGEN,bulb GU4 MR11,100
HÄLSA,steel vacuum flask,0
HALSTED,door mat,100
HALSTED,rug,0
HAMPEN,rug,100
HÄNGA,children's coat-hanger,0
HANNES,desk,100
HANNES,hutch,0
HÄREN,bath sheet,100
HAROLA,chair,0
HARRY,chair,100
HÄSTÖ,headrest,0
HÄSTVEDA,armchair,100
HATTEN,side table,0
HÅVA,curtain rod set,100
